category,type,event,date,location,organizer,host,items,image
LED WALL,대표시안,세계지식포럼 2025 with APEC 경북 (WKF 2025 with APEC Gyeongbuk),2025.09.09~11,더케이호텔 경주,,,LED WALL 4000*2500,assets/led-wall-02.jpg
LED WALL,실사용,LED WALL 대표 시안,2005-08-15,경기아트센터 대극장,,경기도,LED WALL 4000*2500,assets/led-wall-01.jpg
LED WALL,실사용,2025 수산양식박람회,2025.11.07~09,aT센터 제 1전시장.,,,LED WALL 4000*2500,assets/led-wall-03.jpg
LED WALL,실사용,성매매집결지 공간 전환 비전-연풍 리본(Re:born) 선포식,2025.12.17,파주문화회관 대강당,,,LED WALL 4000*2500,assets/led-wall-04.jpg
LED WALL,실사용,사상 최대 외래관광객 유치 기념 행사,2025.12.23,인천공항2터미널,,,LED WALL 4000*2500,assets/led-wall-05.jpg
LED WALL,실사용,광복 80주년 광복절 경축식 ,2025.08.15,경기아트센터 대극장,,경기도,LED WALL 4000*2500,assets/led-wall-01.jpg
LED 인포데스크,대표시안,LED 인포데스크 대표 시안,2025-01-02,코엑스 B홀,운영팀,브랜드 A,LED 인포데스크,assets/led-info-01.png
LED 인포데스크,실사용,LED 인포데스크,2024-08-22,코엑스 B홀,운영팀,브랜드 A,LED 인포데스크,assets/led-info-02.png
LED 인포데스크,실사용,LED 인포데스크,2024-09-10,킨텍스 2전시장,기획팀,브랜드 B,LED 인포데스크,assets/led-info-03.png
LED 인포데스크,실사용,LED 인포데스크,2024-10-19,벡스코,대행사,브랜드 C,LED 인포데스크,assets/led-info-04.png
LED 인포데스크,실사용,LED 인포데스크,2024-11-08,세텍,행사팀,브랜드 D,LED 인포데스크,assets/led-info-05.png
LED 인포데스크,실사용,LED 인포데스크,2024-12-02,대구 엑스코,운영팀,브랜드 E,LED 인포데스크,assets/led-info-06.png
LED 배너,대표시안,LED 배너 대표 시안,2025-01-03,코엑스 C홀,운영팀,브랜드 A,LED 배너,assets/led-banner-01.png
LED 배너,실사용,LED 배너,2024-07-18,세텍,운영팀,브랜드 A,LED 배너,assets/led-banner-02.png
LED 배너,실사용,LED 배너,2024-08-05,코엑스 C홀,기획팀,브랜드 B,LED 배너,assets/led-banner-03.png
LED 배너,실사용,LED 배너,2024-09-29,킨텍스,대행사,브랜드 C,LED 배너,assets/led-banner-04.png
LED 배너,실사용,LED 배너,2024-10-14,부산 벡스코,행사팀,브랜드 D,LED 배너,assets/led-banner-01.png
LED 배너,실사용,LED 배너,2024-11-26,서울 양재 AT센터,운영팀,브랜드 E,LED 배너,assets/led-banner-02.png
LED 배너,실사용,LED 배너 신규 이미지,2026-01-24,-,,,LED 배너,assets/led-banner-05.png
Custom LED,대표시안,Custom LED 대표 시안,2025-01-04,대전컨벤션센터,운영팀,브랜드 A,Custom LED,assets/custom-led-01.png
Custom LED,실사용,Custom LED,2024-06-12,대전컨벤션센터,운영팀,브랜드 A,Custom LED,assets/custom-led-02.png
Custom LED,실사용,Custom LED,2024-07-03,코엑스 A홀,기획팀,브랜드 B,Custom LED,assets/custom-led-01.png
Custom LED,실사용,Custom LED,2024-08-17,부산 벡스코,대행사,브랜드 C,Custom LED,assets/custom-led-02.png
Custom LED,실사용,Custom LED,2024-09-06,킨텍스,행사팀,브랜드 D,Custom LED,assets/custom-led-01.png
Custom LED,실사용,Custom LED,2024-10-21,세텍,운영팀,브랜드 E,Custom LED,assets/custom-led-02.png

